source_district,school,school_cleaned,my_county,confidence
Canterbury,Port Levy,Port Levy,Mt Herbert County,Medium
Canterbury,Port Robinson,Port Robinson,Cheviot County,Low
Canterbury,Rakaia South,Rakaia South,Ashburton County,High
Canterbury,Rangitata Station,Rangitata Station,Geraldine County,Low
Canterbury,Roa,Roa,Grey County,High
Canterbury,Robinson's Bay,Robinsons Bay,Akaroa County,Medium
Canterbury,Rokeby,Rokeby,Ashburton County,Low
Canterbury,Rosewill,Rosewill,Levels County,Medium
Canterbury,Rotomanu,Rotomanu,Grey County,High
Canterbury,Salisbury,Salisbury,Waimairi County,Low
Canterbury,Saltwater Creek,Saltwater Creek,Westland County,Medium
Canterbury,Seaview,Seaview,Heathcote County,Low
Canterbury,Sedgemere,Sedgemere,Ashburton County,Low
Canterbury,Shirley Road,Shirley Road,Waimairi County,High
Canterbury,Southbridge District High School Primary (140) Secondary (23),Southbridge,Ellesmere County,High
Canterbury,South Malvern,South Malvern,Malvern County,Medium
Canterbury,Spencerville,Spencerville,Waimairi County,Medium
Canterbury,Springbrook,Springbrook,Malvern County,Low
Canterbury,Stillwater,Stillwater,Grey County,High
Canterbury,Summerhill,Summerhill,Levels County,Low
Canterbury,Swedes Mill,Swedes Mill,Grey County,Low
Canterbury,Taramakau,Taramakau,Grey County,Low
Canterbury,Taylorville,Taylorville,Grey County,High
Canterbury,Teddington,Teddington,Akaroa County,Medium
Canterbury,Te Moana,Te Moana,Geraldine County,Low
Canterbury,Te Pirita,Te Pirita,Ashburton County,Low
Canterbury,Teschmakers,Teschmakers,Waimate County,Low
Canterbury,Tuahiwi,Tuahiwi,Eyre County,Medium
Canterbury,Waihao Downs,Waihao Downs,Waimate County,High
Canterbury,Wainihinihi,Wainihinihi,Westland County,High
Canterbury,Wairewa,Wairewa,Wairewa County,High
Canterbury,Waitohi Flat,Waitohi Flat,Geraldine County,Medium
Canterbury,Waitohi Upper,Waitohi Upper,Geraldine County,Medium
Canterbury,Waituna Creek,Waituna Creek,Ashburton County,Low
Canterbury,Westbrook,Westbrook,Grey County,Low
Canterbury,Whiterock,Whiterock,Waimate County,Low
Canterbury,Winslow,Winslow,Ashburton County,Low
HawkesBay,Argyll East,Argyll East,Waipawa County,High
HawkesBay,Awariki,Awariki,Wairoa County,Low
HawkesBay,Fernhill,Fernhill,Hawke's Bay County,Medium
HawkesBay,Flemington,Flemington,Waipawa County,Low
HawkesBay,Havelock North,Havelock North,Hawke's Bay County,High
HawkesBay,Heretaunga,Heretaunga,Hawke's Bay County,Medium
HawkesBay,Hopelands,Hopelands,Waipawa County,Low
HawkesBay,Ihungia,Ihungia,Waiapu County,Low
HawkesBay,Kaitaratahi,Kaitaratahi,Cook County,Low
HawkesBay,Keruru,Keruru,Cook County,Low
HawkesBay,Maharahara West,Maharahara West,Weber County,Low
HawkesBay,Makaretu South,Makaretu South,Waipawa County,High
HawkesBay,Mangatahi,Mangatahi,Hawke's Bay County,Low
HawkesBay,Marakeke,Marakeke,Cook County,Low
HawkesBay,Marumaru,Marumaru,Cook County,High
HawkesBay,Morere,Morere,Wairoa County,Medium
HawkesBay,Ngatarawa,Ngatarawa,Hawke's Bay County,Medium
HawkesBay,Norsewood,Norsewood,Waipawa County,High
HawkesBay,Omakere,Omakere,Patangata County,Low
HawkesBay,Opapa,Opapa,Waipawa County,Medium
HawkesBay,Opoutama,Opoutama,Wairoa County,Medium
HawkesBay,Ormondville,Ormondville,Dannevirke County,High
HawkesBay,Otamauri,Otamauri,Hawke's Bay County,Low
HawkesBay,Otane,Otane,Waipawa County,High
HawkesBay,Patangata,Patangata,Patangata County,Medium
HawkesBay,Port Awanui,Port Awanui,Waiapu County,High
HawkesBay,Putorino,Putorino,Wairoa County,Low
HawkesBay,Ruaroa,Ruaroa,Cook County,Low
HawkesBay,Ruataniwha,Ruataniwha,Waipawa County,Medium
HawkesBay,Sherenden,Sherenden,Hawke's Bay County,Low
HawkesBay,Tangitere,Tangitere,Cook County,Low
HawkesBay,Taradale (237) and Greenmeadows (side school) (53),Taradale and Greenmeadows (side school,Hawke's Bay County,High
HawkesBay,Te Arai,Te Arai,Hawke's Bay County,Medium
HawkesBay,Te Pohue,Te Pohue,Hawke's Bay County,Low
HawkesBay,Te Puia Springs,Te Puia Springs,Waiapu County,Medium
HawkesBay,Tipapakuku,Tipapakuku,Hawke's Bay County,Medium
HawkesBay,Tutira,Tutira,Hawke's Bay County,High
HawkesBay,Waitahora,Waitahora,Dannevirke County,Low
HawkesBay,Wigan,Wigan,Cook County,High
Nelson,Addison's Flat,Addisons Flat,Buller County,High
Nelson,Anatimo,Anatimo,Buller County,Low
Nelson,Arapito,Arapito,Buller County,High
Nelson,Awaroa,Awaroa,Waimea County,Medium
Nelson,Blackwater Upper,Blackwater Upper,Inangahua County,High
Nelson,Brightwater (59) and River Terrace (side school) (22),Brightwater and River Terrace (side school,Waimea County,High
Nelson,Brooklyn,Brooklyn,Waimea County,High
Nelson,Clifton Terrace,Clifton Terrace,Nelson County,High
Nelson,Fairdown,Fairdown,Buller County,High
Nelson,Fern Flat,Fern Flat,Buller County,High
Nelson,Ferntown,Ferntown,Collingwood County,High
Nelson,Glenhope,Glenhope,Waimea County,Medium
Nelson,Golden Downs,Golden Downs,Nelson County,Low
Nelson,Granity (135) and Hector (side school) (40),Granity and Hector (side school,Buller County,High
Nelson,Hamama,Hamama,Waimea County,Low
Nelson,Happy Valley,Happy Valley,Nelson County,High
Nelson,Hinekaka,Hinekaka,Collingwood County,Low
Nelson,Inangahua Landing,Inangahua Landing,Inangahua County,High
Nelson,Karamea (81) and Oparara (side school) (11),Karamea and Oparara (side school,Buller County,High
Nelson,Kikiwa,Kikiwa,Waimea County,Medium
Nelson,Kiwi,Kiwi,Waimea County,Low
Nelson,Koreke,Koreke,Collingwood County,Low
Nelson,Little Grey,Little Grey,Inangahua County,High
Nelson,Little Wanganui,Little Wanganui,Buller County,High
Nelson,Longford,Longford,Buller County,Medium
Nelson,Long Plain,Long Plain,Collingwood County,Low
Nelson,McLaren's Bay,McLarens Bay,Waimea County,Medium
Nelson,Mahana,Mahana,Waimea County,Medium
Nelson,Mangarakau,Mangarakau,Collingwood County,High
Nelson,Mangles Valley,Mangles Valley,Buller County,Medium
Nelson,Mapua,Mapua,Waimea County,High
Nelson,Marahau,Marahau,Waimea County,High
Nelson,Matai Valley,Matai Valley,Collingwood County,Medium
Nelson,Motupiko,Motupiko,Waimea County,High
Nelson,Norris's Gully,Norriss Gully,Nelson County,Low
Nelson,Nuggety Creek,Nuggety Creek,Inangahua County,Medium
Nelson,Oparara Beach,Oparara Beach,Buller County,Medium
Nelson,Orinoco,Orinoco,Buller County,Low
Nelson,Owen Junction,Owen Junction,Buller County,High
Nelson,Pakawau,Pakawau,Collingwood County,High
Nelson,Pariwhakaho,Pariwhakaho,Nelson County,Medium
Nelson,Pigeon Valley,Pigeon Valley,Waimea County,Medium
Nelson,Pokororo,Pokororo,Waimea County,Medium
Nelson,Progress,Progress,Buller County,High
Nelson,Punakaikai,Punakaikai,Buller County,High
Nelson,Ranzau,Ranzau,Waimea County,High
Nelson,Redwood's Valley,Redwoods Valley,Nelson County,Low
Nelson,Rockville (42) and Dall's Creek (side school) (11),Rockville and Dalls Creek (side school,Collingwood County,High
Nelson,Rocky River,Rocky River,Collingwood County,Medium
