index,geo_unit,Name,Province,latitude,longitude
194,BR00069,Paeroa,Auckland,-37.36667,175.66667
195,BR00070,Pahiatua,Wellington,-40.45333,175.84083
196,BR00071,Palmerston,Wellington,-45.484026,170.715265
197,BR00072,Palmerston North,Wellington,-40.35636,175.61113
198,BR00073,Patea,Taranaki,-39.75722,174.47667
199,BR00074,Petone,Wellington,-41.22166578,174.8734632
200,BR00075,Picton,Marlborough,-41.29067,174.00801
201,BR00076,Port Chalmers,Otago,-45.8178,170.6188
202,BR00077,Pukekohe,Auckland,-37.2,174.95
203,BR00078,Queenstown,Otago,-45.03023,168.66271
204,BR00079,Rangiora,Canterbury,-43.30437,172.58356
205,BR00080,Riccarton,Canterbury,-43.52998,172.59744
206,BR00081,Richmond,Nelson,-41.3333,173.183
207,BR00082,Riverton,Southland,-46.35,168.01667
208,BR00083,Ross,Westland,-42.89583,170.81417
209,BR00084,Rotorua,Auckland,-38.13874,176.24516
210,BR00085,Roxburgh,Otago,-45.53905,169.3123
211,BR00086,Runanga,Westland,-42.4020632,171.2465516
212,BR00087,Shannon,Wellington,-40.5472,175.4107
213,BR00088,St. Kilda,Otago,-45.9048,170.5009
214,BR00089,Stratford,Taranaki,-39.33708,174.28382
215,BR00090,Sumner,Canterbury,-43.57144,172.76447
216,BR00091,Taihape,Wellington,-39.6777,175.7988055
217,BR00092,Takapuna,Auckland,-36.787,174.772
218,BR00093,Tapanui,Otago,-45.94332,169.2605276
219,BR00094,Taumarunui,Taranaki,-38.8833,175.2666
220,BR00095,Tauranga,Auckland,-37.68611,176.16667
221,BR00096,Te Aroha,Auckland,-37.533,175.717
222,BR00097,Te Awamutu,Auckland,-38.00822,175.3302
223,BR00098,Te Kuiti,Auckland,-38.332983,175.163456
224,BR00099,Temuka,Canterbury,-44.2453,171.27786
225,BR00100,Thames,Auckland,-37.138389,175.5405
226,BR00101,Timaru,Canterbury,-44.39672,171.25364
227,BR00102,Waihi,Auckland,-37.3833,175.833
228,BR00103,Waikouaiti,Otago,-45.59444,170.67222
229,BR00104,Waimate,Canterbury,-44.72836,171.05009
