page,electoral_district,locality,venue_type,entry_raw
7,Westland,Waiho,Hall,"The Waiho Hall, Waiho"
7,Westland,Waitangi,Public School,"The Public School, Waitangi"
7,Westland,Harihari,Public School,"The Public School, Harihari"
7,Westland,Waitaha,Public School,"The Public School, Waitaha"
7,Westland,Ross,Courthouse,"The Courthouse, Ross"
7,Westland,Ruatapu,Public School,"The Public School, Ruatapu"
7,Westland,Rimu,Public Hall,"The Public Hall, Rimu"
7,Westland,Woodstock,Public School,"The Public School, Woodstock"
7,Westland,Kanieri,Public Hall,"The Public Hall, Kanieri"
7,Westland,Arahura,Public Hall,"The Public Hall, Arahura"
7,Westland,Three Mile,Public Hall,"The Public Hall, Three Mile"
7,Westland,Stafford,Courthouse,"The Courthouse, Stafford"
7,Westland,Goldsborough,Courthouse,"The Courthouse, Goldsborough"
7,Westland,Kumara,Courthouse,"The Courthouse, Kumara"
7,Westland,Marsden,Public School,"The Public School, Marsden"
7,Westland,Ahaura,Courthouse,"The Courthouse, Ahaura"
7,Westland,Ngahere,Public School,"The Public School, Ngahere"
7,Westland,Kokiri,Public School,"The Public School, Kokiri"
7,Westland,Aratika,Public School,"The Public School, Aratika"
7,Westland,Moana,Public School,"The Public School, Moana"
7,Westland,Te Kinga,Public School,"The Public School, Te Kinga"
7,Westland,Rotomanu,Public School,"The Public School, Rotomanu"
7,Westland,Jackson’s,Public School,"The Public School, Jackson’s"
7,Westland,Otira,Public School,"The Public School, Otira"
7,Westland,Wallsend,Other,"The Polling-booth, Wallsend"
7,Westland,Paroa,Public School,"The Public School, Paroa"
7,Westland,Waiuta,Public School,"The Public School, Waiuta"
7,Westland,South Beach,Other,"The Polling-booth, South Beach"
7,Westland,Cameron’s,Other,"The Polling-booth, Cameron’s"
7,Westland,Humphrey’s,Public School,"The Public School, Humphrey’s"
7,Westland,Kahikatea,Other,"The Polling-booth, Kahikatea"
7,Westland,Kaiata,Other,"The Polling-booth, Kaiata"
7,Wairau,Blenheim,Town Hall,"The Town Hall, Blenheim (principal)"
7,Wairau,Literary Institute Bui‘dings,Council Chambers,"The Council Chambers, Literary Institute Bui‘dings"
7,Wairau,Grovetown,Public School,"The Public School, Grovetown"
7,Wairau,Rapaura,Public School,"The Public School, Rapaura"
7,Wairau,Fairhall,Public School,"The Public School, Fairhall"
7,Wairau,Onamalutu,Public School,"The Public School, Onamalutu"
7,Wairau,Okaramio,Public School,"The Public School, Okaramio"
7,Wairau,Havelock,Courthouse,"The Courthouse, Havelock"
7,Wairau,The Grove,Public School,"The Public School, The Grove"
7,Wairau,Picton,Courthouse,"The Courthouse, Picton"
7,Wairau,Koromiko,Public School,"The Public School, Koromiko"
7,Wairau,Tuamarina,Public School,"The Public School, Tuamarina"
7,Wairau,Seddon,Public School,"The Public School, Seddon"
7,Wairau,Grassmere,Public School,"The Public School, Grassmere"
7,Wairau,Ward,Public School,"The Public School, Ward (Flaxbourne)"
7,Wairau,Kekerangu,Public School,"The Public School, Kekerangu"
7,Wairau,Manaroa,Public School,"The Public School, Manaroa"
7,Wairau,St,Post Office,"The Post-office, St"
7,Hurunut,Amberley,Board Office,"The Town Board Office, Amberley (principal)"
7,Hurunut,Sefton,School,"The Pyblie School, Sefton"
7,Hurunut,Rotheram,Public School,"The Public School, Rotheram"
7,Hurunut,Hapuku,Other,"The Hall, Hapuku"
7,Hurunut,Kaikoura,Courthouse,"The Courthouse, Kaikoura"
7,Hurunut,Waiau. ‘,Public School,"The Public School, Waiau. ‘"
7,Hurunut,Hawarden,Other,"The Hall, Hawarden"
7,Hurunut,Omihi,Public School,"The Public School, Omihi"
7,Hurunut,Scargill,Public School,"The Public School, Scargill"
7,Hurunut,Woodgrove,Public School,"The Public School, Woodgrove"
7,Hurunut,View Hill,Public School,"The Public School, View Hill"
7,Kaiapot,Kaiapoi,Hall,"The Volunteer Hall, Kaiapoi (principal)"
7,Kaiapot,Rangiora,Hall,"The Volunteer Hall, Rangiora"
7,Kaiapot,Southbrook,Public Hall,"The Public Hall, Southbrook"
7,Kaiapot,Woodend,Public Hall,"The Public Hall, Woodend"
7,Kaiapot,Waikuku,Public Hall,"The Public Hall, Waikuku"
7,Kaiapot,Fernside,Public School,"The Public School, Fernside"
7,Kaiapot,Carleton,Public School,"The Public School, Carleton"
7,Kaiapot,West Oxford,Courthouse,"The Courthouse, West Oxford"
7,Kaiapot,Kirikiri,Public School,"The Public School, Kirikiri"
7,Kaiapot,Swannanoa,Public School,"The Public School, Swannanoa"
7,Kaiapot,Belfast,Other,"The Hall, Belfast"
7,Kaiapot,Papanui,Public School,"The Public School, Papanui"
7,Kaiapot,Burwood,Other,"The Hall, Burwood"
7,Christchurch North,Bealey Avenue,Other,"Knox School, Bealey Avenue"
7,Christchurch North,Rugby Street,Schoolroom,"The Schoolroom, Rugby Street"
7,Christchurch North,Cranford Street North,Other,"The Salvation Army Hal), Cranford Street North"
7,Christchurch East,151 Worcester Street (prin,Other,"Caledonian Society’s Hall, 151 Worcester Street (prin"
7,Christchurch East,174 Barbadoes Street,Other,"Hibernian Hall, 174 Barbadoes Street"
7,Christchurch East,15 Lawson Street,Other,"Sydenham Football Club’s Hall, 15 Lawson Street"
7,Christchurch East,Waltham Road,Library,"The Library, Waltham Road"
7,Christchurch East,(prin,Other,"Salvation Army Hall, Battersea Street, Sydenham, (prin"
7,Riccarton,Upper Riccarton,Other,"The Odd Fellows’ Hall, Upper Riccarton (principal)"
7,Riccarton,Harewood,Public Hall,"The Public Hall, Harewood"
8,Riccarton,Hornby,Hall,"The Orange Hall, Hornby"
8,Riccarton,Yslington,Hall,"The Social Hall, Yslington"
8,Riccarton,Templeton,Library,"The Public Library, Templeton"
8,Riccarton,Weedon’s,Public School,"The Public School, Weedon’s"
8,Riccarton,Darfield,Public Hall,"The Public Hall, Darfield"
8,Avon,Linwood,Other,"Odd Fellows’ Hall, Rolleston Street, Linwood (principal)"
8,Avon,Bromley,Public School,"The Public School, Bromley"
8,Avon,Buxton’s Corner,Other,"Marquee at Geddie’s Poultry Farm, Buxton’s Corner"
8,Avon,Cambridge Terrace,Other,"Canterbury Boat-sheds, Cambridge Terrace"
8,Lyitelion,Lyttelton,Courthouse,"The Courthouse, Lyttelton (principal)"
8,Lyitelion,Sumner,Public School,"The Public School, Sumner"
8,Lyitelion,Woolston,Other,"The Odd Fellows’ Hall, Woolston"
8,Lyitelion,Heathcote,Public School,"The Public School, Heathcote"
8,Lyitelion,Opawa,Public School,"The Public School, Opawa"
8,Lyitelion,Governor’s Bay,Public School,"The Public School, Governor’s Bay"
8,Lyitelion,Port Levy,Public School,"The Public School, Port Levy"
8,Lyitelion,Okain’s Bay,Public School,"The Public School, Okain’s Bay"
8,Lyitelion,Le Bon’s Bay,Public School,"The Public School, Le Bon’s Bay"
8,Ellesmere,Akaroa,Courthouse,"The Courthouse, Akaroa (principal)"
8,Ellesmere,Little River,Courthouse,"The Courthouse, Little River"
8,Ellesmere,Ataahura,Public School,"The Public School, Ataahura"
8,Ellesmere,Doyleston,Town Hall,"The Town Hall, Doyleston"
8,Ellesmere,Irwell,Public School,"The Public School, Irwell"
8,Ellesmere,Lakeside,Public School,"The Public School, Lakeside"
8,Ellesmere,Southbridge,Public Hall,"The Public Hall, Southbridge"
8,Ellesmere,Tai Tapu,Public School,"The Public School, Tai Tapu"
8,Ellesmere,Rolleston,Public School,"The Public School, Rolleston"
8,Ellesmere,Ellesmere,Public School,"The Public School, Ellesmere"
8,Ellesmere,Lincoln,Public Hall,"The Public Hall, Lincoln"
8,Ellesmere,Brookside,Public School,"The Public School, Brookside"
8,Ellesmere,Dunsandel,Public School,"The Public School, Dunsandel"
8,Ellesmere,Spreydon,Public School,"The Public School, Spreydon"
8,Ellesmere,Halswell,Public School,"The Public School, Halswell"
8,Ellesmere,Prebbleton,Library,"The Library, Prebbleton"
