Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Puketurua,2,25,,,
,,Punakitere,2,37,,,
,,Puni,3A,56,,,
,,Purerua,1,10,,,
,,Puriri,3B,92,,,
,,Puru,2,25,,,
,,Purua No.1,1,8,,,
,,Putake (7) and Waitomo Caves (6) ,1,18,,,
,,Putaruru,3A,70,,,
,,Raglan,3A,55,,,
,,Ramarama,3A,48,,,
,,Rangiahua (24) and Upper Waihou (19),3A,43,,,
,,Rangiaohia,2,36,,,
,,Rangiatea,2,21,,,
,,Rangiriri,2,21,,,
,,Rangitoto No.2,1,9,,,
,,Raupo,3A,43,,,
,,Rawene,3A,57,,,
,,Rawhia,2,17,,,
,,Red Hill,1,19,,,
,,Rehia,2,21,,,
,,Remuera,7D,658,,,
,,Richmond Road Auckland ,7E,725,,,
,,Richmond West,4C,215,,,
,,Rira (half-time) See under Kaeaea,,,,,
,,Riverhead,3A,51,,,
,,Riverslea,1,22,,,
,,Rotokakahi (12) and Salt Springs (9),2,21,,,
,,Rotopotaka (half time) See under Paraheka,,,,,
,,Rotokauri,2,21,,,
,,Rotorangi,2,32,,,
,,Rotorua Island,1,7,,,
,,Rotorua District High School Primary (344) secondary (19),5C,363,,,
,,Rototuna,3A,50,,,
,,Ruakaka,2,19,,,
,,Ruakuri,2,22,,,
,,Ruapuke,1,13,,,
,,Ruatangata East,1,16,,,
,,Ruatangata West,2,20,,,
,,Ruawai,3A,81,,,
,,Rukuhia,2,44,,,
,,Russell,3A,81,,,
,,St. Heliers,4A,147,,,
,,Salt Springs (half-time) see under Rotokakahi,,,,,
,,Silverdale,3A,43,,,
,,Springdale,3A,58,,,
,,Stanley Bay,5A,243,,,
,,Swanson,3A,57,,,
,,Tahaia,2,12,,,
,,Tahekeroa (half-time) see under Makarau,,,,,
,,Tahuna,2,22,,,
,,Taikawhana (10) and Umawere (13),1,23,,,
,,Taipa (half-time) see under Paranui,,,,,
,,Tairua,2,23,,,
,,Taita,1,23,,,
,,Takahue,2,32,,,
,,Takapuna,5A,299,,,
,,Takiri,1,18,,,
,,Tamahere,3A,38,,,
,,Teneatua ,3B,100,,,
,,Tangaihi,1,10,,,
,,Tangiteroria,3A,41,,,
,,Tangitu,2,34,,,
,,Tangoao,1,16,,,
,,Tangowahine,2,22,,,
,,Tangowahine Valley,1,11,,,
,,Taotaoroa No.1,2,32,,,
,,Tapapa,1,15,,,
,,Tapu,2,24,,,
,,Tapuhi,3A,36,,,
,,Tara Road (half-time) see under Hakaru,,,,,
,,Taringamutu,3A,39,,,
,,Taraunui (half-tome) see undere Owhiwha,,,,,
,,Tatarariki,2,21,,,
,,Tauhei No.1,1,12,,,
,,Tauhei No.2,2,24,,,
,,Tauhoa,2,26,,,
,,Taumarumui District High Schhol Primary (281) Secondary (22),5A,303,,,
,,Taupaki,3A,55,,,
,,Taupiri,3B,101,,,
,,Taupo,2,26,,,
,,Tauranga District High School Primary (349) Secondary (53),5D,402,,,
,,Tauraroa,1,24,,,
,,Tautari,2,41,,,
,,Tawharanui (half-time) see under Dacres,,,,,
,,Tawhare,3A,45,,,
,,Te Akau,2,19,,,
,,Te Aroha,5A,253,,,
,,Te Aroha West,3A,65,,,
,,Te Atatu,2,25,,,
,,Te Awamutu,4C,235,,,
,,Te Hihi,1,12,,,
,,Te Hoe,2,27,,,
,,Te Huruhi (half-time) See under Ostend,,,,,
,,Te Karae,1,20,,,
,,Te Kopuru,4B,167,,,
,,Te Koraha ,0,4,,,
,,Te Kowhai,3B,87,,,
,,Te Kuiti District High School Primary (417) Secondary (41),6B,458,,,
,,Te Mapara,2,36,,,
,,Te Mata,3A,55,,,
,,Te Matai,2,23,,,
,,Te Mawhai,3A,55,,,
,,Te Pahi ,0,8,,,
,,Te Pahi No.2,1,13,,,
,,Te Pahu,2,32,,,
,,Te Papapa,5C,331,,,
,,Te Pu,1,21,,,
,,Te Pua,3A,39,,,
,,Te Puke,4A,135,,,
,,Te Puke No.2,2,36,,,
,,Te Puna,2,20,,,
,,Te Rahu,2,37,,,
,,Te Ranga,1,18,,,
,,Te Rapa,3A,39,,,
,,Te Rauamoa,1,13,,,
,,Te Rau Mauku (half-time) See under Waitomo Valley Road,,,,,
,,Tererenga (10) and Whangapoua (11) ,2,21,,,
,,Te Rore,2,11,,,
,,Te Uku,2,21,,,
,,Te Werenga ,1,11,,,
,,Thames Central,6B,475,,,
