"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00084","Rotorua",1974,"Hamilton","Auckland",46,51,44,49,51,49,45,43,47,44,42,36,39,34,34,34,34,34,38,38,38,38,37,36,36,37,37,34,34,34,34,34,37,37,37,37,37,30,30,30,30,30,21,21,21,21,21,17,17,17,17,17,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00085","Roxburgh",201,"Dunedin","Otago",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00086","Runanga",591,"GreyValley","Westland",15,14,15,14,14,16,15,16,15,15,15,13,14,11,11,11,11,9,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00087","Shannon",513,"PalmerstonNorth","Wellington",13,11,12,11,10,12,10,11,11,10,10,11,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00088","St. Kilda",3197,"Dunedin","Otago",61,62,61,62,68,64,63,65,64,64,64,68,66,63,63,63,63,62,54,53,54,54,49,49,49,49,49,48,48,48,48,48,49,49,50,50,50,48,48,48,48,48,41,41,41,41,41,35,35,35,35,35,26,26,26,26,26,21,21,21,21,21,18,18,18,18,18,12,13,13,13,13,9,9,9,10,10,6,6,6,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00089","Stratford",1546,"NewPlymouth","Taranaki",34,32,32,29,33,34,36,31,32,34,32,36,39,30,30,30,30,26,26,26,26,26,24,24,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,16,16,16,16,16,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00090","Sumner",1528,"Christchurch","Canterbury",30,33,30,32,31,32,31,31,31,31,30,30,31,27,27,27,27,25,25,24,25,25,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,24,24,24,24,24,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00091","Taihape",1042,"Wanganui","Wellington",24,24,24,25,24,24,24,23,23,24,24,24,25,20,20,20,20,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,16,16,16,16,16,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00092","Takapuna",1962,"Auckland","Auckland",37,38,37,39,40,40,38,37,37,38,37,39,38,37,37,37,37,35,33,33,33,33,32,31,31,31,31,32,32,32,32,32,33,34,34,34,34,31,31,31,31,31,26,26,26,26,26,21,21,21,22,22,15,16,16,15,15,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00093","Tapanui",150,"Dunedin","Otago",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00094","Taumarunui",1064,"Wanganui","Taranaki",24,24,24,25,24,24,25,24,23,24,24,24,26,20,20,20,20,16,18,18,18,18,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,17,17,17,17,17,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00095","Tauranga",1125,"Auckland","Auckland",21,22,21,23,23,23,22,21,21,22,21,22,22,21,21,21,21,20,19,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00096","Te Aroha",1078,"Hamilton","Auckland",25,28,24,27,28,27,25,23,26,24,23,20,21,18,18,18,18,19,21,21,21,21,20,20,20,20,20,19,19,19,19,19,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00097","Te Awamutu",772,"Hamilton","Auckland",18,20,17,19,20,19,18,17,19,17,16,14,15,13,13,13,13,13,15,15,15,15,14,14,14,14,14,13,14,14,14,14,15,15,15,15,15,12,12,12,12,12,8,8,8,8,8,6,7,7,7,7,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00098","Te Kuiti",1145,"Hamilton","Auckland",27,30,25,29,29,28,26,25,28,26,24,21,23,19,19,19,19,20,22,22,22,22,21,21,21,21,21,20,20,20,20,20,21,21,22,21,21,17,18,18,18,18,12,12,12,12,12,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00099","Temuka",905,"Timaru","Canterbury",20,22,21,23,20,22,20,19,20,19,20,20,21,16,16,16,16,14,14,14,14,14,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,3,4,4,4,4,3,3,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
