"CountyID","County","Province","Population","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"CT00033","Hawera","Taranaki",2589,71,74,70,66,69,65,65,64,61,60,57,52,53,50,51,51,51,47,45,45,45,45,41,42,42,42,42,44,44,44,44,44,42,42,42,42,42,36,36,36,36,36,28,29,29,29,29,21,21,21,21,21,14,15,15,15,15,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00034","Hawke's Bay","Hawkes.Bay",5291,144,137,139,123,118,122,110,109,102,122,94,72,91,101,101,101,101,91,84,84,84,84,90,90,90,90,90,85,85,85,86,86,87,88,88,88,88,81,81,81,80,80,57,57,57,57,57,55,55,55,55,55,39,39,39,39,39,29,29,29,29,29,24,24,24,24,24,19,19,19,19,19,15,15,16,16,16,8,8,8,7,7,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00035","Heathcote","Canterbury",1840,48,46,45,46,46,42,41,42,40,40,37,35,34,33,33,33,33,31,29,29,30,30,29,29,29,29,29,30,30,30,31,31,30,30,30,30,30,27,27,27,27,27,22,22,22,22,22,18,18,18,18,18,12,12,12,12,12,10,10,10,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00036","Hobson","Auckland",2464,66,66,62,66,61,62,59,56,54,54,51,48,47,44,44,44,44,43,40,40,41,41,39,39,39,40,40,41,42,42,42,42,42,42,42,42,42,37,38,38,37,37,29,29,29,29,29,23,23,23,23,23,16,16,16,16,16,12,13,13,13,13,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00037","Hokianga","Auckland",1452,38,38,36,38,36,36,34,33,31,31,30,28,28,26,26,26,26,25,24,24,24,24,23,23,23,23,23,24,24,24,25,25,25,25,25,25,25,22,22,22,22,22,17,17,17,17,17,14,14,14,14,14,9,10,10,10,10,7,7,7,7,7,5,5,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00038","Horowhenua","Wellington",2392,62,63,60,59,56,56,56,54,50,53,49,45,44,43,43,43,43,42,38,38,38,38,37,37,37,38,38,40,41,40,41,41,40,41,41,41,41,37,38,38,37,37,28,29,29,29,29,22,23,23,22,22,17,17,17,17,17,12,12,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00039","Hutt","Wellington",3008,78,79,75,74,71,70,70,68,63,66,61,57,55,54,54,54,54,53,48,48,48,48,46,47,47,47,47,50,51,51,51,51,51,51,51,51,51,47,47,47,47,47,36,36,36,36,36,28,28,28,28,28,21,21,21,21,21,16,16,16,16,16,13,13,13,13,13,9,9,9,9,9,6,6,7,7,7,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00040","Inangahua","Westland",1808,38,42,37,39,46,39,39,36,46,36,37,37,30,27,27,27,27,29,28,29,29,29,23,23,23,23,23,28,28,28,28,28,28,28,28,28,28,30,30,30,30,30,25,25,25,25,25,18,18,18,18,18,13,13,13,13,13,9,9,9,9,9,10,10,10,10,10,6,6,6,7,7,9,9,9,9,9,7,7,7,7,7,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00041","Inglewood","Taranaki",1450,40,41,39,37,39,36,36,36,34,34,32,29,30,28,28,28,28,26,25,25,25,25,23,23,23,23,23,24,25,25,25,25,23,24,24,24,24,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00042","Kaikoura","Canterbury",1106,29,28,27,28,28,26,25,25,24,24,22,21,20,20,20,20,20,19,18,18,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,13,13,13,13,13,11,11,11,11,11,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00043","Kairanga","Wellington",2120,55,56,53,52,50,49,49,48,44,47,43,40,39,38,38,38,38,37,34,34,34,34,33,33,33,33,33,35,36,36,36,36,36,36,36,36,36,33,33,33,33,33,25,25,25,25,25,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,7,7,7,7,4,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00044","Kaitieke","Taranaki",1620,45,46,44,41,43,41,40,40,38,38,36,33,33,32,32,32,32,29,28,28,28,28,26,26,26,26,26,27,28,28,28,28,26,26,26,26,26,23,23,23,23,23,18,18,18,18,18,13,13,13,13,13,9,9,9,9,9,7,7,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
