"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00048","Mataura",523,"Invercargill","Southland",12,12,12,12,12,12,12,11,12,12,11,11,11,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00049","Milton",597,"Dunedin","Otago",12,12,11,12,13,12,12,12,12,12,12,13,12,12,12,12,12,12,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00050","Morrinsville",584,"Hamilton","Auckland",14,15,13,15,15,15,13,13,14,13,12,11,12,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,10,10,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00051","Mosgiel",774,"Dunedin","Otago",15,15,15,15,16,15,15,16,15,15,16,16,16,15,15,15,15,15,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00052","Motueka",651,"Nelson","Nelson",13,16,13,14,14,14,15,15,15,15,14,16,15,12,12,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,9,10,9,9,9,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00053","Mount Albert",5013,"Auckland","Auckland",97,98,93,99,100,99,95,92,92,96,95,99,97,91,92,92,92,89,81,82,82,82,79,79,79,80,80,81,83,83,83,83,86,87,87,87,87,79,80,80,80,80,66,66,66,66,66,54,55,55,55,55,40,40,40,40,40,33,33,33,33,33,26,26,26,26,26,19,19,19,19,19,13,14,14,14,14,9,9,9,9,9,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00054","Mount Eden",6473,"Auckland","Auckland",125,127,120,127,129,128,123,118,119,124,122,128,125,118,118,119,119,115,105,106,106,106,102,102,102,103,103,105,107,107,107,107,110,112,112,112,112,102,104,103,103,103,85,86,86,86,86,70,71,71,71,71,51,52,52,52,52,42,42,43,43,43,34,34,34,34,34,24,24,24,24,24,17,18,18,18,18,12,12,11,11,11,5,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00055","Napier",6457,"Napier","Hawkes.Bay",143,136,139,142,147,148,122,134,146,129,128,116,136,111,111,111,111,99,104,104,104,104,104,104,104,105,105,113,114,114,115,115,113,114,114,114,114,101,102,101,101,101,79,80,80,79,79,63,63,63,63,63,46,46,46,46,46,39,39,39,40,40,31,31,31,31,31,21,21,21,21,21,15,15,15,15,15,11,11,10,10,10,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0
"BR00056","Naseby",109,"Dunedin","Otago",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00057","Nelson",4100,"Nelson","Nelson",83,98,79,87,86,90,92,97,93,93,87,97,96,78,78,78,78,59,56,56,56,56,55,56,56,56,56,53,54,54,54,54,60,60,60,60,60,59,59,59,59,59,51,51,51,51,51,48,48,48,48,48,40,40,40,40,40,33,33,33,33,33,21,21,21,21,21,16,16,16,16,16,14,14,14,14,14,9,9,9,8,8,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
