geo_unit,Agricultural,Commercial,Domestic,Industrial,Professional,Transport,Indefinite,sex
BR00064,0.09774436090225563,0.16541353383458646,0.3157894736842105,0.20300751879699247,0.17293233082706766,0.022556390977443608,0.022556390977443608,female
BR00065,0.09615384615384616,0.16666666666666666,0.3173076923076923,0.1987179487179487,0.17307692307692307,0.022435897435897436,0.02564102564102564,female
BR00066,0.09278350515463918,0.16494845360824742,0.31958762886597936,0.1958762886597938,0.17525773195876287,0.020618556701030927,0.030927835051546393,female
BR00067,0.0967741935483871,0.16532258064516128,0.3185483870967742,0.1975806451612903,0.17338709677419356,0.024193548387096774,0.024193548387096774,female
BR00068,0.09574468085106383,0.1702127659574468,0.3191489361702128,0.20212765957446807,0.1702127659574468,0.02127659574468085,0.02127659574468085,female
BR00069,0.0945945945945946,0.16891891891891891,0.31756756756756754,0.19594594594594594,0.17567567567567569,0.02027027027027027,0.02702702702702703,female
BR00070,0.09243697478991597,0.16806722689075632,0.31932773109243695,0.20168067226890757,0.16806722689075632,0.025210084033613446,0.025210084033613446,female
BR00071,0.09722222222222222,0.16666666666666666,0.3194444444444444,0.19444444444444445,0.16666666666666666,0.027777777777777776,0.027777777777777776,female
BR00072,0.09668109668109669,0.16666666666666666,0.31746031746031744,0.1984126984126984,0.17243867243867245,0.022366522366522368,0.025974025974025976,female
BR00073,0.0970873786407767,0.1650485436893204,0.32038834951456313,0.1941747572815534,0.17475728155339806,0.019417475728155338,0.02912621359223301,female
BR00074,0.09700427960057062,0.16690442225392296,0.3166904422253923,0.19828815977175462,0.17261055634807418,0.02282453637660485,0.025677603423680456,female
BR00075,0.0967741935483871,0.1693548387096774,0.31451612903225806,0.20161290322580644,0.1693548387096774,0.024193548387096774,0.024193548387096774,female
BR00076,0.09663865546218488,0.16806722689075632,0.31932773109243695,0.19747899159663865,0.1722689075630252,0.02100840336134454,0.025210084033613446,female
BR00077,0.09580838323353294,0.16766467065868262,0.31736526946107785,0.19760479041916168,0.17365269461077845,0.023952095808383235,0.023952095808383235,female
BR00078,0.09859154929577464,0.16901408450704225,0.30985915492957744,0.19718309859154928,0.16901408450704225,0.028169014084507043,0.028169014084507043,female
BR00079,0.0989010989010989,0.16483516483516483,0.31868131868131866,0.1978021978021978,0.17032967032967034,0.02197802197802198,0.027472527472527472,female
BR00080,0.09764309764309764,0.16498316498316498,0.3164983164983165,0.19865319865319866,0.1717171717171717,0.02356902356902357,0.026936026936026935,female
BR00081,0.0967741935483871,0.17204301075268819,0.3225806451612903,0.1935483870967742,0.17204301075268819,0.021505376344086023,0.021505376344086023,female
BR00082,0.09210526315789473,0.17105263157894737,0.3157894736842105,0.19736842105263158,0.17105263157894737,0.02631578947368421,0.02631578947368421,female
BR00083,0.1,0.175,0.3,0.2,0.175,0.025,0.025,female
BR00084,0.09770114942528736,0.16666666666666666,0.3160919540229885,0.19827586206896552,0.1724137931034483,0.022988505747126436,0.02586206896551724,female
BR00085,0.08571428571428572,0.17142857142857143,0.3142857142857143,0.2,0.17142857142857143,0.02857142857142857,0.02857142857142857,female
BR00086,0.09615384615384616,0.16346153846153846,0.3173076923076923,0.20192307692307693,0.17307692307692307,0.019230769230769232,0.028846153846153848,female
BR00087,0.0989010989010989,0.16483516483516483,0.31868131868131866,0.1978021978021978,0.17582417582417584,0.02197802197802198,0.02197802197802198,female
BR00088,0.09591474245115453,0.1669626998223801,0.31616341030195383,0.1989342806394316,0.17229129662522202,0.023090586145648313,0.02664298401420959,female
BR00089,0.0959409594095941,0.16605166051660517,0.3173431734317343,0.1992619926199262,0.17343173431734318,0.02214022140221402,0.025830258302583026,female
BR00090,0.09701492537313433,0.16791044776119404,0.31716417910447764,0.19776119402985073,0.17164179104477612,0.022388059701492536,0.026119402985074626,female
