index,geo_unit,Name,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
32,CT00033,Hawera,-39.59167,174.28333,71,74,70,66,69,65,65,64,61,60,57,52,53,50,51,51,51,47,45,45,45,45,41,42,42,42,42,44,44,44,44,44,42,42,42,42,42,36,36,36,36,36,28,29,29,29,29,21,21,21,21,21,14,15,15,15,15,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CT00034,Hawke's Bay,-39.483,176.917,144,137,139,123,118,122,110,109,102,122,94,72,91,101,101,101,101,91,84,84,84,84,90,90,90,90,90,85,85,85,86,86,87,88,88,88,88,81,81,81,80,80,57,57,57,57,57,55,55,55,55,55,39,39,39,39,39,29,29,29,29,29,24,24,24,24,24,19,19,19,19,19,15,15,16,16,16,8,8,8,7,7,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
34,CT00035,Heathcote,-43.583,172.716638,48,46,45,46,46,42,41,42,40,40,37,35,34,33,33,33,33,31,29,29,30,30,29,29,29,29,29,30,30,30,31,31,30,30,30,30,30,27,27,27,27,27,22,22,22,22,22,18,18,18,18,18,12,12,12,12,12,10,10,10,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CT00036,Hobson,-35.9396,173.8726,66,66,62,66,61,62,59,56,54,54,51,48,47,44,44,44,44,43,40,40,41,41,39,39,39,40,40,41,42,42,42,42,42,42,42,42,42,37,38,38,37,37,29,29,29,29,29,23,23,23,23,23,16,16,16,16,16,12,13,13,13,13,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CT00037,Hokianga,-35.5258,173.3786,38,38,36,38,36,36,34,33,31,31,30,28,28,26,26,26,26,25,24,24,24,24,23,23,23,23,23,24,24,24,25,25,25,25,25,25,25,22,22,22,22,22,17,17,17,17,17,14,14,14,14,14,9,10,10,10,10,7,7,7,7,7,5,5,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CT00038,Horowhenua,-40.57733,175.38071,62,63,60,59,56,56,56,54,50,53,49,45,44,43,43,43,43,42,38,38,38,38,37,37,37,38,38,40,41,40,41,41,40,41,41,41,41,37,38,38,37,37,28,29,29,29,29,22,23,23,22,22,17,17,17,17,17,12,12,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CT00039,Hutt,-41.209164,174.908051,78,79,75,74,71,70,70,68,63,66,61,57,55,54,54,54,54,53,48,48,48,48,46,47,47,47,47,50,51,51,51,51,51,51,51,51,51,47,47,47,47,47,36,36,36,36,36,28,28,28,28,28,21,21,21,21,21,16,16,16,16,16,13,13,13,13,13,9,9,9,9,9,6,6,7,7,7,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CT00040,Inangahua,-41.85724663,171.9298009,38,42,37,39,46,39,39,36,46,36,37,37,30,27,27,27,27,29,28,29,29,29,23,23,23,23,23,28,28,28,28,28,28,28,28,28,28,30,30,30,30,30,25,25,25,25,25,18,18,18,18,18,13,13,13,13,13,9,9,9,9,9,10,10,10,10,10,6,6,6,7,7,9,9,9,9,9,7,7,7,7,7,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
40,CT00041,Inglewood,-39.1499994,174.1999992,40,41,39,37,39,36,36,36,34,34,32,29,30,28,28,28,28,26,25,25,25,25,23,23,23,23,23,24,25,25,25,25,23,24,24,24,24,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CT00042,Kaikoura,-42.41667,173.68333,29,28,27,28,28,26,25,25,24,24,22,21,20,20,20,20,20,19,18,18,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,13,13,13,13,13,11,11,11,11,11,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
