geo_unit,school,name,latitude,longitude,grade_1918,average_attendance_1918,gender,StatutoryLowAge,StatutoryHighAge,number_staff,SchoolCapacity
CT00014,Owaka,Clutha,-46.233333,169.75,4,119,Mixed,5,12,5,132
CT00014,Owaka Valley,Clutha,-46.233333,169.75,2,26,Mixed,5,12,1,29
CT00054,Paerau,Maniototo,-45.12086448,170.0292969,0,6,Mixed,5,12,1,7
CT00113,Papakaio,Waitaki,-44.926,170.635,3,69,Mixed,5,12,2,77
CT00014,Papatowai,Clutha,-46.233333,169.75,2,18,Mixed,5,12,1,20
CT00054,Patearoa,Maniototo,-45.12086448,170.0292969,2,29,Mixed,5,12,1,32
CT00095,Poolburn,Vincent,-45.52,169.46,1,17,Mixed,5,12,1,19
CT00009,Popotunoa,Bruce,-46.116667,169.966667,1,12,Mixed,5,12,1,13
CT00014,Port Molyneux,Clutha,-46.233333,169.75,2,14,Mixed,5,12,1,16
CT00074,Portobello,Peninsula,-45.8583,170.65,3,57,Mixed,5,12,2,63
CT00014,Pounawea,Clutha,-46.233333,169.75,1,14,Mixed,5,12,1,16
CT00009,Pukeiwitahi,Bruce,-46.116667,169.966667,2,28,Mixed,5,12,1,31
CT00054,Pukema,Maniototo,-45.12086448,170.0292969,1,8,Mixed,5,12,1,9
CT00014,Pukepito,Clutha,-46.233333,169.75,1,17,Mixed,5,12,1,19
CT00009,Puketi,Bruce,-46.116667,169.966667,1,14,Mixed,5,12,1,16
CT00113,Pukeuri,Waitaki,-44.926,170.635,3,61,Mixed,5,12,3,68
CT00100,Purakanui,Waikouaiti,-45.60014881,170.4716171,2,33,Mixed,5,12,1,37
CT00113,Purakauiti,Waitaki,-44.926,170.635,1,16,Mixed,5,12,1,18
CT00014,Purekireki,Clutha,-46.233333,169.75,2,17,Mixed,5,12,1,19
CT00095,Rae's Junction,Vincent,-45.52,169.46,1,17,Mixed,5,12,1,19
CT00054,Ranfurly,Maniototo,-45.12086448,170.0292969,3,76,Mixed,5,12,2,84
CT00014,Ratanui,Clutha,-46.233333,169.75,3,38,Mixed,5,12,2,42
CT00074,Ravensbourne,Peninsula,-45.8583,170.65,4,192,Mixed,5,12,7,213
CT00014,Reomoana,Clutha,-46.233333,169.75,1,19,Mixed,5,12,1,21
